Tanggal,Komentator,Komentar,jumlahlike
2020-06-28T11:23:18Z,@kampungchannel5206,Telat membuat tracking infeksi corona..update terbaru..udah 54ribu kasus positif corona..,0
2020-06-21T05:34:06Z,@giarferdiawan2872,Gara gara 2 orang,0
2020-06-21T16:50:09Z,@tiffaa576,"Iya nih, skrg udh berapa ya hmm",0
2020-06-27T09:53:22Z,@16y12x,Skrng udh 52.000 kasus,1
2020-06-19T17:15:41Z,@abdullahpeter218,"Udah mati ke blm orang Depok itu, potong saja kepalanya , bikii susah se-Indonesia",0
2020-07-05T10:52:13Z,@yudhadharma6177,Maksoeedd loe apa toeeng,0
2020-08-10T00:17:48Z,@galihtrisnada1564,Mending bunuh aja org Jepang nya ngapain org indonya,0
2020-06-12T01:18:17Z,@wct2646,Sugino,0
2020-06-10T06:56:30Z,@DOUMA-rs3if,Dan sekarang menyebar luas di Indonesia,0
2020-06-08T01:16:47Z,@rahmansyarif2207,Smga cepat pulih indonesia ku amin,1
2020-05-29T16:49:07Z,@AM-pd3zp,"Andaikan dari januari sdh lockdown dstiap pulau di indonesia, ga kan seperti sekarang indonesia...<br><br>Andaikan pemerintah indo lebih peka dr awal..<br><br>Tp itu semua angan2 belaka..",2
2020-05-26T16:38:02Z,@stegius2553,CNN,0
2020-05-22T22:56:46Z,@zridorofo7579,"Udah peralatannya mahal dan terbatas, warganya ngeyelan pula🤦‍♂️",0
2020-05-22T16:28:57Z,@KurinKurin-wz2ms,"VIRUS ADALAH HOAX,. KENAPA, KARENA YANG MENCIPTAKAN VIRUS NYA TIDAK DI TANGKAP, DAN ASAL USUL VIRUS INI GAK JELAS,",0
2020-06-27T02:43:23Z,@airbeningyangsegar119,"Ngayal kamu, kalo virus ini hoax, seluruh negara juga hoax dong.",0
2020-05-22T06:19:52Z,@017_muhammadtegarwijaksana9,And now,0
2020-05-20T16:06:09Z,@gafuraisah4830,Awalx cm 2orang skrng uda smpe20rb orng,0
2020-05-20T10:01:11Z,@yogablack2680,Gara gara keparat anak dan ibu ini,0
2020-05-20T15:04:47Z,@renaldydwiputra9317,Sengaja meluaskan virus corona di indonesia,0
2020-05-20T09:28:49Z,@portgasdace4100,Gara&quot; 2 Orang ini yang mengajak orang Jepang yang memang dunia sedang guncang dengan Corona dan sekarang dampaknya sangat buruk bagi negri ini memang kalo orang berduit gapernah mikir kaum bawah dan sekarang tidak ada mudik.,0
2020-05-15T14:47:14Z,@dheacitraarneta739,"Mau tanya, sekarang orang Indonesia yg pertama kena corona udh sembuh atau udh ga ada? (Serius nanya) 🙏",0
2020-05-17T17:50:20Z,@heydarabel8997,Sembuh,0
2020-05-20T21:01:03Z,@dheacitraarneta739,@@renaldydwiputra9317 beneran??,0
2020-05-20T21:05:55Z,@renaldydwiputra9317,Dhea Citra belum tau sih kepastian nya tapi yang saya denger sih begitu,0
2020-05-14T14:25:46Z,@williamn3734,Ijin menggunakan video untuk tugas,0
2020-05-14T05:48:51Z,@goestavimam7640,Mesti ny di bunuh tu penular pertama kedua dan ketiga,1
2020-05-20T15:06:18Z,@renaldydwiputra9317,Betul dari pada banyak yang kena<br>Mendingan musnahkan aja penyebab nya,0
2020-05-25T11:20:42Z,@TarafaCashi,@@renaldydwiputra9317 dulu 2<br>Sekarang 2...... 20 rb,0
2020-05-07T12:08:56Z,@videogemes2645,Udh hampir 4 bln corona berada di indo...semoga cepat teratasi...😔,1
2020-05-20T15:06:53Z,@renaldydwiputra9317,Sabar bang pasti pandemi ini berlalu,0
2020-05-20T15:10:49Z,@videogemes2645,Semoga saja...amin,0
2020-05-07T03:11:31Z,@FathanDonk,Presenternya gak selow,0
2020-05-07T02:32:36Z,@tamatokwes2523,pergi ke jepang . ke jepang,0
2020-05-05T15:55:10Z,@alkkaadonara5573,Makan daun pepaya bawang putih dan dau kelor/marongge  masak makan itu mencegah,0
2020-05-03T07:37:18Z,@riskiramdhan8878,Gmna covid 19 mau berakhir kalo bandara penerbangan internasional masih beroperasi,0
2020-05-01T20:00:17Z,@nurdinkomeng6743,Tdi mah tembak mati ge yg kena korona,0
2020-05-01T08:46:07Z,@mukhamadafsoni,Sembuh 2 tumbuh 10000 edan,0
2020-05-20T15:07:46Z,@renaldydwiputra9317,Lebih baik Matiin 2 sembuh 10000,0
2020-04-30T02:14:02Z,@muhamadawalludin8054,Aku mau tanya donk?<br>Klau kakak aku berada di Jepang kata nya dia mau pulang ke indonesia tar lebaran gimana tuh solusinya klau ia sudah pulang ke indonesia langsung berkontak dengan keluarga,0
2020-04-29T20:53:28Z,@muhammadfaizuddin4222,Indo masih kebal,0
2020-04-28T00:03:20Z,@mrsugianto1615,"Jadi bila di analisa lebih jauh, siapa sebenarnya yang lebih dulu terimpeksi....? Apakah warga Jepang , atau orang Depok...? Bila ditelusuri dari Vidio jejak awal keluar masuknya Corona di Indonesia, kok malah Corona sudah berada di Indonesia lebih dulu, dari WNA yang datang ke Indonesia, hanya gak terdeteksi sama Doter2 di Indonesia, yang di periksa dinyatakan Negatif, tapi setelah di periksa oleh Dokter luar , ternyata Positif, bedakan...jauh kan...?",1
2020-04-27T15:14:36Z,@joshuamackenzie7823,"Kalau boleh waktu diulang mungkin tidak separah sekarang sampai ibadah ditutup,resto makan dibungkus,toko banyak tutup ,psbb,tidak boleh mudik padahal kasihan jadinya orang yg enggak bersalah apa-apa kena imbasnya",0
2020-04-24T08:44:27Z,@Ricky-nq2rm,"Ada yg tau gk gimana nasib dua orang kasus pertama Covid-19 di Indonesia,apakah sudah sembuh?",0
2020-05-20T15:08:42Z,@renaldydwiputra9317,Katanya sih dia bunuh diri gara2 sering di caci maki sama di bully,0
2020-04-22T10:12:05Z,@fallsains6840,"Dulu dua skrg udah mau 8000 aj,😭😭",0
2020-04-21T22:07:56Z,@julionuralamsyah9914,Wong Jakarta gak nduwe utek,1
2020-04-21T04:43:43Z,@bangkitsitumorang7126,"dulu jepang penjajah, sekarang bawa virus",0
2020-04-20T12:39:41Z,@boybastos3592,Kabar angin .yg berhebus .wn jepang itu pelacur .pangilan,0
2020-04-19T19:10:55Z,@gilangsite7732,INGIN GUA HABISI TUH ORG YG KENA COVIID PERTAMA KALI .,0
2020-04-18T16:33:01Z,@difaril6895,Okhtiar. Cobalah berikan minum kopi pahit campur cabai seger dicincang bagi pengodap covid19.,0
2020-04-18T05:56:44Z,@rosellefatisya3996,"hallo cnn, saya rosell mohon ijin menggunakan video anda untuk keperluan tugas dari sekolah. Terima kasih :)",0
2020-04-17T18:16:59Z,@editorlogopixkelab5191,"Baca Lah Sesudah Baca Bilang Lah Amin<br>- Semoga Corona Selesai -<br>Bismilah Hirohmannirohim!<br><br>Ya Allah Sungguh Kami Bermohon Kepada Mu Sangmaha Pemurah Sangmaha Penyayang Hilangkan Lah Corona Di Muka Bumi Ini Ya Allah Sungguh Kami Tidak Mengetahui Arti Sebuah Pertanda Kami Hanya Lah Makluk Ciptaan Mu Yang Mudah Lupa Berikan Lah Waktu Untuk Kami Agar Bisa Menikmati Rhammadhan Ya Allah Maaf Kan Lah Segala Dosa Kami Yang Sengaja Atau Tidak Sengaja Sungguh Hamba Hanya Manusia Lemah Yang Kadang Menyepelekan Yang Kecil Ya Allah Segala Apa Yang Telah Terjadi Didunia Ini Seperti Gempa, Sunami, Angin Topan, Hujan Badai, Dan Bencana Lain Nya Sungguh Hamba Bersungguh Meminta Ampunan Mu Ya Allah Jadikan Lah Kami Sebagai Hamba Mu Paling Lemah Ya Allah Karna Hamba Tidak Lah Sekuat Ngekau Ya Allah Hilang Kan Lah Corona Di Dunia Ini Aku Meminta Kepada Mu Sangmaha Penguwasa Ya Allah Tempat Kan Lah Orang Orang Yang Telah Engkau Ambil Di Tempat Yang Terbaik Ya Allah Jaga Lah Keluarga Keluarga Kami Ya Allah Sangmaha pencita Lautan, Alam, Bumi, Langit, Surga, Neraka, Disini Hamba Menangis Menyesal Meminta Ampunan Mu Ya Allah Bila Nyawa Hamba Suatusaat Nanti Engkau Ambil Tempat Kan Lah Hamba Disisi Nabi Muhammad Sallalahu alaihi wasallam... Aminnnn Ya Robal Alaminnnnn",8
2020-04-17T10:54:26Z,@calculator5135,Gw fokus sama mbak presenternya.,0
2020-04-17T04:38:24Z,@abangkeren8685,Klo bisa jauhi orang yg suka kunjungan k luar negeri jadi rakyat indonesia  kena imbas nya,0
2020-04-16T13:00:24Z,@adenursubechi4038,Salah,0
2020-04-16T03:21:15Z,@iwanmardiansyah265,Menyedihkn....diagnosis bronkitis.....,0
2020-04-15T01:22:41Z,@rioardhiansyah8593,Gara gara virus corona gua ga boleh keluar beli hp :(,1
2020-04-13T03:48:02Z,@tmrntmrn6841,Kalo mau daftar volunteer penanganan covid kemana ya? Ada yg tau,0
2020-04-13T01:08:26Z,@epasusanti0642,Mari kita laksanakan himbaun pemerintah untuk tetap berada dirumah.. Untuk memutus penyebaran viruscorona.,1
2020-04-13T00:21:19Z,@saidinahusen4127,"Gblk bet pake dansa2, gada otak. Tanggung negri ini woi yg udah bnyak meninggal akibat corona",2
2020-04-12T21:41:26Z,@jhondavincy8032,Data hoax,0
2020-04-12T17:16:25Z,@monnyonk8679,2 warga depok bikin susah negara aja,0
2020-04-12T12:14:30Z,@ninjahitam1662,"Yg takut corona mending balik lagi jadi pejuh,  🙂 terus gw lockdown di biji telor gw biar aman, ☺️",1
2020-04-11T21:40:18Z,@sharudinshar7748,peneragan dia mcam orang bejoging lh.,0
2020-04-11T15:17:03Z,@djabrieckarshavin4308,Baru sekarang di isolasi 14hari kalau mau pulang kampung.kenapa yg dari luar negeri dulu GK gitu. Bukan mencegah tpi mengobati ya ini.,1
2020-04-11T01:50:38Z,@alamsyahsaputra3634,Bunuh aja orang jepang itu,0
2020-04-10T19:03:06Z,@zoelfyelsa2589,14 feb hari valentine pesta dansa awal mula virus masuk indo..,0
2020-04-09T10:13:35Z,@ryadbhw4308,Dan sekarang 3000,0
2020-04-09T03:43:42Z,@naruto_0682,Smoga cepet hilang covid 19,0
2020-04-08T09:24:44Z,@agusrejha2808,Coba dlu pass pertama kena.. Langsung di lockdown apa karantina pasti g bakal nyebar ke bgini jadinya,1
2020-04-08T08:15:02Z,@guspegon2312,apa kabar hari ini,0
2020-04-06T15:53:27Z,@ilham6360,"Jangan menyalakan orang lain dan jangan menyalahkan siapapun karena semua ini adalah ujian dari Allah SWT, ini mungkin salah kalian juga yang udah pernah ngomong kalo China kena azab corona gara-gara ngambil laut Natuna jadi milik China, jadi pada saat virus korona terlahir di China kalian bilang itu azab buat China karena China ngaku ngaku kalo laut Natuna laut dia! , nah jadi karena Tuhan maha adil jadi impas dehh China yang mengaku ngaku laut Natuna laut dia, terus pas virus nyerang China Indonesia bilang itu azab jadi sama sama impass.... Jangan menyalahkan siapapun, justru kita harus memberi semangat kepada para tim medis yang berjuang agar penyebaran virus korona tidak bertambah lagi, bukannya saling menyalahkan ya",1
2020-04-06T05:17:25Z,@ekosuryo9458,Terlalu lambat mengatasi covid19 <br>Udah menyebar rakyat kecil yang menderita,0
2020-04-06T15:54:40Z,@ilham6360,Udah cepat tuh,0
2020-04-04T08:22:51Z,@caturtockz4936,Lha saiki sing pesta dansa jik urip opo wes nggal lor,0
2020-04-03T15:25:22Z,@zul4214,Laguminang,0
2020-04-03T13:30:45Z,@massempol4026,ternyata orang kaya yg nularin penyakit.hhhhjwkwkwkwk,1
2020-04-03T03:46:36Z,@sateayam7050,Siapa yg bawa penyakit,0
2020-04-02T14:11:17Z,@imamfanani7445,Udh bnyak kasus di luar yg terkena corona ehh si anu malah asik dansa hadehh gk ada akhlak emang...,0
2020-04-02T03:43:15Z,@cpone0272,"Dansa membawa petaka,",0
2020-04-02T03:05:05Z,@azizanarkhy5496,1. 14 Feb.. pasti acara Valentine day😪<br>2. Orang jepang/luar negeri/asing/wna<br>3. Karena rasa cinta dan napsu.<br>4. = penyebaran corina terjadi dimana mna,0
2020-04-01T14:24:25Z,@cahlucu8828,Klo saja saat pertama x adanya kabar positip corona di depok dan lansung kota depok di lockdown mungkin gk akan sampai mnyebar ke berbagai daerah dan propinsi karana depok dan skitaran jakarta banyak orang2 perantau dari berbagai daerah dan propinsi yg memprcepat lajunya corona,0
2020-04-01T12:49:52Z,@inkstory6805,Terdeteksi karena kebetulan. Kebetulan teman dari jepangnya mengabarkan positiv corona,0
2020-04-01T10:31:26Z,@GhuntaraVlog,Ternyata indonesia blom bisa mendeteksi corona gaesss,0
2020-04-01T04:37:46Z,@IrfanAbuNaveed,"Ternyata, berawal dari pesta maksiat!",1
2020-04-01T03:05:17Z,@herbetnababan8641,"Terlalu banyak pakai KATA. &quot;ATAU&quot;, belajar LG lah",0
2020-04-01T02:34:40Z,@freedzeryk5013,"Pesta dansa nya di tempat tidur, ternyata habis di booking orang Jepang..",0
2020-03-31T22:15:13Z,@sirmudasabdani4761,DOA ORANG INDONESIA SAMA ORANG MALAYSIA INI AAMIIN.  KALAU ORANG INDONESIA PERGI MALAYSIA ATAU ORANG MALAYSIA PERGI INDONESIA BACAAN NYA UNTUK ALLAH.      YA ALLAH AKU MAHU PERGI INDONESIA ALLAH AAMIIN ALLAH,0
2020-03-31T21:38:19Z,@awalludinbahasar6166,BeraG Indonesia mah kaga tau apa2an. itu tau Corona juga pasti dari pasiennya langsung yang bilang karena temennya WN Jepang ngasih tau.,0
2020-03-31T03:25:12Z,@cahrantau4345,Gini kok katanya orang miskin menularkan penyakit nya ke orang kaya.,0
2020-03-31T00:45:25Z,@susilosusilo9441,Perselingkuhan jadinya kena virus corona imbasnya ke masyarakat yg lain.,0
2020-03-30T21:34:44Z,@restusinggih9370,Oo ini biangkerok nya,0
2020-03-30T15:05:15Z,@safriantosafri907,"Akibat covid 19 Indonesia kembali krisis, harga 9 bahan pokok naik.nasib masyarakat di desa-desa susah mendapat 9 bahan pokok.walau pun dapat harganya sangat mahal.",0
2020-03-30T13:42:49Z,@widiafahri892,Gara dansa akhirnya Indonesia kena virus 😭😭,1
2020-03-30T12:35:01Z,@meladine4704,virus coronanya ikut pesta dansa,0
2020-03-30T12:22:57Z,@musliminmimin7680,Makasih sudah memberi tahu tentang corona,0
2020-03-30T07:17:31Z,@zanuarruhan1876,Kasihan yang tertular <br>Pemerintah lambat mencegah corona mashk indonesia<br>Masarakat pun terlalu santai<br>Yang bisa di lakukan saat ini hanya bisa berdiam di rumah,0
2020-03-30T07:09:54Z,@Donat-du4ox,pesta dansa ataukah goyang dombret,0
2020-03-30T06:28:55Z,@januarjanuar5603,P,0
2020-03-30T06:05:23Z,@ilhamsatriyanto3490,Kita akan perang lawan virus ini,0
2020-03-30T02:40:35Z,@hijrah7788,Berita apaan corana aj d besar2 kan.waktunya mati ya mati hidup dan mati kita bukan corana yg menentukan tapi ALLAH swt,0
2020-03-30T01:33:38Z,@sangpenakluk730,Pasti org jepang itu orang miskin yg menularkan penyakitnya kpd org kaya.. 🤪,1
2020-03-29T21:05:07Z,@serojabunga8055,Cina masuk yg lebih banyak duluan ga di bahas,1
2020-03-29T19:37:37Z,@NazaGwen,Pesta Valentine .. 14 februari .. Bayangkan klo byk yg kena dsna.. Doa trus sm Allah SWT.. Smoga corona di Indonesia dan dunia cpt slsai..,4
2020-03-29T18:02:36Z,@cahyoelnour,Respective GBLH = Google Backed Lightly Hour Waallohu Ghoniyun Basith Lathifun Hadi...!?,0
2020-03-29T16:13:17Z,@aaputra9007,"Makanya banyk yg berobat ke luar negri krn mngkn lebih jitu,😁😂",0
2020-03-29T12:32:58Z,@hanshugohans,Wtf presentation news wrong alway word!,1
2020-03-29T03:28:05Z,@rensy53,ini yg Bawak penyakit pertamo kali ke Indonesia Reti nyo,0
2020-03-29T03:03:17Z,@jangkarmedia568,29 maret masih ada orrang asing ke bali.  10.57 am wita. Tdk memakai masker masker di mana&quot; habis harga melonjak di angka 5 rb perbiji.  Kita kerja diliburkan.   Mkan apa kluarga saya pak jok.  Sya kerja juga tdk nyaman di tengah&quot;pandemic. Matot kehidupan kita semua.  orang kya masih bisa happy&#39;&#39; liburan. Akhir zaman ya allah,0
2020-03-29T01:47:33Z,@ismailmariajang4531,Orng2 kafir mmang pembawa malapetaka di dunia ini,0
2020-03-29T00:09:32Z,@feryqq1232,OROCIMARU masuk indonesia..,0
2020-03-28T20:53:58Z,@kelvinr7868,2 orang penyebar virus fix banyak dosanya 🤣🤣,0
2020-03-28T17:16:03Z,@rudihartonoplp6760,Inilah Cikal bakal kasus covid19 di indonesia menyebar &quot;saya bangga dengan dokter malaysia...,12
2020-03-28T14:30:14Z,@yonkisaputra6561,"itu ksalhan pemerintah itu sendiri,,hrus ny semua bandara internasional ditutup semntara,,",4
2020-03-28T13:27:44Z,@pedotsempak8337,"Virus corona itu waba buatan china yang di sebar,, karna china mau kuasai negara2 lain,,, tolong jgn takut virus corona,, takut lha pada alloh swt yg cipta kn kita,, mati rezeki jodoh itu di tangan tuhan",0
2020-03-28T12:39:50Z,@RMF717,Kuwi peringatan sangking Gusti Allah,0
2020-03-28T12:39:26Z,@RMF717,Menungso ayo ndang tobat,0
2020-03-28T12:10:53Z,@rahmatfauzi8760,sudah meybar baru di kethui jadi begni sekarng indonesia,0
2020-03-28T10:46:27Z,@liliksutanti4592,gara gara dua orang kah... indonesia terkena.....,0
2020-03-28T10:02:02Z,@muhamadridhosaputra6720,gara2 china indonesia rugi bangsad ..,0
2020-05-15T09:44:38Z,@ragilragol5301,Bngsad emng bang,0
2020-03-28T08:59:56Z,@nitissutisna2293,Saya harap masyarakat tenang banyak berdoa aja,0
2020-03-28T05:27:06Z,@andibae153,Dari 2 positip corona sekarang 27 maret jadi 1046 orang....😭😭😭,1
2020-03-28T04:16:40Z,@alpinservin7587,"indonesia mengikuti gaya luar,pake acara pesta dansa sgala hem😣<br>ya allah lindungi negeri ini 🙏🙏",16
2020-04-12T12:07:40Z,@ninjahitam1662,"Jangan dulu dilindungi, biarin kurangin dulu populasinya, yg stuju like 🙂👍",0
2020-09-07T01:49:12Z,@calebnatanael,Saya dari masa depan,0
2020-03-28T01:45:12Z,@faujindriiandria6077,Sok party sih..dansa sama org jepang.lagak sok keren.noh cium ibu lo kasih dia kesenangan.malah kasih Corona.dodol,1
2020-03-28T00:52:42Z,@daivmaayezia3183,Gara gara 2 orang ini indonesia susah kalian tau orang tua saya pedagang kecil sekarang tidak bisa menjual dagangannya kami harus makan apa. Gak punya agama pesta&quot; Dansa imbasnya kami semua. Seharusnya mati aja di luar negeri knapa harus pulang ke indonesia,0
2020-03-27T18:48:08Z,@mustopamuhaimin1618,Intinya pemerindah kota dn daerah harus mengurangi transportasi darat laut udara  lebih khusus wna yg masuk harus diperiksa benar2 spy tdk berkepanjangan virus corona<br>Jngn mementingkn kepentingan sepihak yg saya dengar pelabuhan masih bebas dr wna klw memang sangat mendesak harap pemerintah kota dn daerah lebih khusus pemerintah pusat memeriksa benar2 wna dgn alat predeksi virus corona yg kongkrit spy virus corona tdk berkepanjangan,1
2020-03-27T18:47:48Z,@jalakjinakmbahpoted3657,Tipu2,0
2020-03-27T16:07:09Z,@aziiz1209,02 maret - 27 maret 2020<br>Sudah lebih dari 1000 orang terinfeksi covid-19,0
2020-03-27T15:59:37Z,@mustakimgalang9716,Enkkasringetotmemekebojomu,0
2020-03-27T15:35:33Z,@amirulfz8945,seandainya warga jepang tidak diperbolehkan masuk ke sini apa mungkin sekarang indonesia masih 0 kasus corona? seandainya ohhh krusial sekali warga jepang ini.,0
2020-03-27T14:12:12Z,@ghisellanoviaputry1267,SEKERAS APAPUN PEMERINTAH DAN TENAGA KESEHATAN MEMBERI PERINGATAN. BALIK LAGI PADA DIRI SENDIRI YANG MESTI SADAR DIRI. SELAMAT DATANG KAWAN DIDUNIA KAUM REBAHAN!!! DI MOHON UNTUK SELALU JAGA KESEHATAN DAN JAGA KELUARGA DIRUMAH.,0
2020-03-27T11:12:50Z,@palmcis365,"PERBANYAK VITAMIN, DOA, IKHTIAR, YAKIN DIRI KEPADA SANG PENCIPTA",2
2020-03-27T11:00:45Z,@titinmaman7010,Gara gara satu orang ajh sampai kaya ginih,0
2020-03-27T10:52:13Z,@winaahmad8641,Itu hukuman dari Allah Subahanahu Ta ala bagi para pelacur.,0
2020-03-28T15:07:24Z,@ahmadzahidyassin5554,Ga nyambung -_-,0
2020-03-27T02:12:17Z,@alimunzaeed2534,"Di saat covid 19 , menular dgn ganasnya,, mematikan siapa saja tak peduli siapa,,  kita masih berfikir besuk makan apa,  mati cepat kena virus atau mati perlahan krna kelaparan,,dilema brow,,  tapi smua trlambat sudah,, virus corona merebak kemana mana,,, bersiaplah melawan covid 19,,",0
2020-03-27T01:07:34Z,@dalishaanggun30,Yo ngene iki wong sogeh nyusahno wong2 cilik,0
2020-03-26T22:20:27Z,@samsuriosman8187,"Tolonglah, kalau warganegara Indonesia tidak serious menangani wabak ini ,dikuatiri angka kematian akan meningkat mendadak. Stay at home! Jangan keluar rumah. Kami dimalaysia sudah amat terkesan dengan ancaman wabak covid19 ini. Kerajaan indonesia perlu bertegas dalam memastikan netizen mengikut perintah kawalan penggerakan.<br>Guna face mask dan hand sanitizer atau kerap guna sabun untuk mencuci tangan. Tidak ada vaksin untuk merawat wabak ini buat masa sekarang.",0
2020-03-26T19:32:55Z,@putraperdana9636,Itulah jika terlalu menyepelekan pada akhirnya gk tau kan klw terkena virus korona itu azab kadang2 ada rumah sakit pasien nya yg pakek BPJS lama banget dan bulet nanganinnya meskipun BPJS itu bayar pe bulannya 😷,0
2020-03-26T17:09:05Z,@muhamadmisbah7366,Cara cari virus corona di mana cari virus corona gw mau makan virus corona itu.,0
2020-03-26T16:19:33Z,@fajarriyadi5874,Kurang tegas,0
2020-03-26T16:18:47Z,@ydiadi4872,Sekarang jakarta hampir merata siapa yg dsalah kan krena indonesia kbanyakan orangnya titttttttttt,0
2020-03-26T16:10:01Z,@alulakuubaidku2543,"Warga +62 terlalu menanggap remeh ni penyakit,sama seperti italy,akhirnya kena juga.",0
2020-03-26T13:32:26Z,@nurohman1268,mangkanya gak usah sok sokan pada kenal orag luar negri..... akhir nya jdi rusuh se indonesia gara2 itu org. andai saja org indo itu tdk mngenal org jepang itu dan tidak bertemu. mungkin sampai saat ini negara kita indonesia aman2 aja. dari virus covid 19.,5
2020-03-29T20:40:50Z,@bagusyosidi1784,"Bukan dari itu saja penyebabnya, bnyak dari wni yg d pulangkan dari luar negeri yg sebagian menyebarkan virus",1
2020-03-26T13:31:32Z,@ericjean8161,Ragara dansa mesum ribuan orang terancam punah bener&quot;,0
2020-03-26T13:29:19Z,@yendrisky6592,Semoga hutang kita berkurang ammiin,0
2020-03-26T12:35:15Z,@senjabiru9872,Orang 2 ...kini jadi 894...hemzz,0
2020-03-26T12:26:45Z,@MuhammadRohiminOfficial,Semoga kita terhindar covid corona .. aamiin,1
2020-03-26T10:14:25Z,@dwiattaradwilova5871,Budayakan trus pesta dansa wahai Indonesiaku...Dn lupakan bahwa seolah dirimu TDK LG berTUHAN.abaikan agama..Dn trus pojokkan dg alasan radikal atau intoleran.dn akhirnya ALLAH Akn mmblasnya dlm waktu skjap..teruslah berdansa indonesia,0
2020-03-26T08:06:32Z,@sogifishfish4242,Harus segera di temukan obatnya,0
2020-03-26T03:19:22Z,@busabasechannel5308,katanya bebas korona,0
2020-03-26T03:10:54Z,@nbtutor,"Sungguh disayangkan pemerintah indo sngat lemah menghadapi masalah ini, seandainya indo yg pertama x tertular virus ini, sdah pasti wni tak punya ksempatan utk mnginjak airport mreka.",0
2020-03-25T21:46:33Z,@sirotolmustaqiemjalanlurus6342,Mari kita perbanyak Sholawat di rumah masing2 agar penyakit ini musnah di Indonesia,5
2020-03-25T15:45:39Z,@yonoyusuf8388,Pertanyaan bgmn kbr org yg ikut pesta dansa wkt Itu???? Dmn mereka berada skg,0
2020-03-25T12:27:02Z,@pebriyanefendik1330,"Gara gara Wong gragas  tokk maleh  kabeh kenek dampak e 🖕 Wong jepang Wes roh nduwe penyakit ngunu meneng ae bisu ta yo opo🤦🏻‍♂️ ,,,,<br>Menungso Wes dikek i utek di gae mikir Ora  dideleh nek dengkoll",0
2020-03-25T10:37:36Z,@ardhyck6502,"Dua org itu yg bwa msuk Corona ke indo , tp pemerintah GK bisa mencegah msukny virus",0
2020-03-25T09:13:21Z,@suciptoaskafamily9290,Gmn dg KD n luna maya yg keluar negri,0
2020-03-25T05:41:29Z,@midyawati537,"Warga jepang sialan bawa virus aj ke indonesia,",0
2020-03-25T04:58:11Z,@rahmasyarifah8174,Indonesia...indonesia... dari awal udah tau berita virus corona harusnya di block tuh wisatawan/WN asing...<br>Jadinya gini kan rugi sendiri...😢😢,0
2020-03-25T02:15:05Z,@amandajihansahira8332,Kok lokdown malah makin mewabah,0
2020-03-24T23:49:27Z,@afrizalasepasep3735,Gra2 ni org.sok kenal am org jpang mlah se indonesia jd kna imbas nya.knpa gx dbunuh ajw pas dia dinyatakan corona org depok itu. Mlh jd kmna-mna.,0
2020-03-24T23:31:11Z,@kamalmulrodat1348,"Ini yg di sbt penyakit merambat lahir batin, mikir3 ,, ini blm seberapa,, lihat jiwa kita masing2 tingkah laku benar gk, nyalahin corona trus, gejala mau skit di blg corona, aneeeeerh",0
2020-03-24T16:39:45Z,@gilbertnainggolan7008,Kecurigaan ku fakta dilapangan lebih besar positif itu yg aku takutkan,0
2020-03-24T06:48:46Z,@edykorea8747,Awal mula penyebaran covid 19  di Indonesia. Gara2 dua orang begok yg sok pesta dansa<br>Saya doakan CPT mampus👎👎👎,2
2020-03-25T18:43:48Z,@kurangfaedahchanel5193,Rudi Ss  amin 👐,0
2020-05-13T06:12:09Z,@nurafitta1711,Amiin,0
2020-03-23T19:03:38Z,@zenmmjrofficial3868,"Santay aja,",0
2020-03-23T15:55:28Z,@hendrikuyauye5585,Gara gara Valentine day kena bronkhitis eh salah kena corona...,0
2020-03-23T12:15:12Z,@badungcanel9144,"Pemerintah kurang cepat menanggapi virus ini,aturan dri awal sejak tau virus itu mematikan pemerintah bertindak cepat,blok semua akses orang luar ke indo,sperti pepatah sedia payung sebelum hujan,jangn udah terjadi baru pencegahan TERLAMBAT",0
2020-03-23T08:39:35Z,@vidioBuangtrick,Parah ini orang..,0
2020-03-23T06:12:36Z,@Inhibition24,Jepang pernah menjajah indonesia . Dan sekarang gara2 ulah orang jepang indonesia darurat corona .,0
2020-03-23T05:00:22Z,@semardua7103,Gara gara 2 orang ini corona merebak di indonesia ..,0
2020-03-23T03:41:16Z,@suchan3914,Corona kok di dianodsa bronkitis...jauh bgt . Kurang jitu,0
2020-03-22T21:39:00Z,@Wwati07,Seperti ya wn Jepang itu cwok dan. Org Depok itu cewe mereka berdansa saat hari valentine . 🙄,0
2020-03-22T18:55:12Z,@budayaembeg9904,"Benarkah vorus corona itu senjata biologis, kalo benar akan tiba saatnya perang dunia ke tiga",0
2020-03-22T18:08:12Z,@ardianwae3782,Tukang masker naik haji,0
2020-03-22T15:19:25Z,@nurjitokotot2929,Indonesia kurang canggih nek masalah virus corana ..nek masalah korupsi nomer satu di dunia,0
2020-03-22T14:10:03Z,@owdybrother7074,"pertama launching corona dgn bangganya biilang indonesia bebas dari  corona, setelah terinfeksi ..ketawa gw",0
2020-03-22T13:12:38Z,@calonsukses1013,Kita hanya bisa berdoa meminta kepada Tuhan agar covid19 tidak menyebar di Indonesia ini,0
2020-03-22T13:12:00Z,@calonsukses1013,Kita hanya bisa berdoa meminta kepada Tuhan agar covid19 tidak menyebar di Indonesia ini,0
2020-03-22T12:34:48Z,@bangardi1314,Indonesia ini tdk tgs negaranya plng mudah untuk di masuki olh negara lain .Indonesia,0
