,Komentar,jumlahlike,tanggal,waktu,komentator,Sentiment
603,hai kamu masih ingat saya,0.0,2022-09-01,07:07:40,Bill-dt4uv,neutral
604,reflek i filing gud lakasud,0.0,2022-09-01,04:27:03,AR-ij5fd,positive
605,masa lalu yg buruk dan baik,1.0,2022-08-31,00:04:57,siyamahamah9567,positive
606,rindu momen inii,2.0,2022-08-30,14:58:55,mabdulalazhim9701,negative
607,lah covid rinduu,1.0,2022-08-31,11:51:55,fikarfahrezi649,negative
608,,0.0,2022-08-30,14:22:44,aurabaikbgtwkwk,positive
609,halosekarang udah pa 3,0.0,2022-08-30,13:56:16,Szelinee,neutral
610,gak nanya,0.0,2022-09-01,00:42:11,warnet1597,negative
611,sudah 2thn berlalu,0.0,2022-08-30,13:02:55,SamsungAs-tz5gq,negative
612,kgn bgt ms jmn 2020 g kerasa udh 2022aja,0.0,2022-08-30,12:39:41,Sbrkimwlna,positive
613,flashback,2.0,2022-08-30,09:07:49,marrrinhere,positive
614,wkwkwk,0.0,2022-08-30,11:56:47,anggact8503,positive
615,halo gua dari masa depan,0.0,2022-08-30,02:32:44,kingvil5618,neutral
616,ga kerasa udah 2022 aja kgn vibes 2020,0.0,2022-08-29,18:15:02,va-yf9vp,neutral
617,libur 2 minggu libur dua tahun,1.0,2022-08-29,16:31:56,gatausiapa6708,neutral
618,ga kerasa dh 2thn,1.0,2022-08-29,14:36:01,renopratama3021,neutral
619,tak kerasaa yaa udah 2 tahun ajaa,0.0,2022-08-29,12:34:08,fikriyulianda4628,neutral
620,tutor balik 2020 gmn gan,4.0,2022-08-29,11:35:07,LoriYagini,neutral
621,lu pasti dari tiktok,0.0,2022-08-29,11:45:56,indotuber9199,positive
622,plis pgn bgt dah gw,1.0,2022-08-29,12:28:45,ytzhen1722,negative
623,ahahha jadi inget temen onlineee pls dlu sring ngediscord main minecraft,0.0,2022-08-29,11:32:40,ManKind143-s,neutral
624,nenekku tercinta meninggal karena virus ini,0.0,2022-08-29,11:20:25,hasanudin-bh3pr,negative
625,yehehhhh ilang,0.0,2022-08-29,09:36:16,nandarodrigues4390,positive
626,,0.0,2022-08-29,09:31:34,h_mc-x3456,positive
627,it 39 s been a year daddy,1.0,2022-08-29,08:40:36,gabrielkenzo4999,neutral
628,i really really miss you,0.0,2022-08-29,11:30:08,dalleee5794,negative
629,mommy say you 39 re save now,0.0,2022-08-29,11:33:58,ManKind143-s,positive
630,alhamdulillah kita bisa melewati ini semua semoga kelak tidak akan terulang lagi dengan kasus yang sama,128.0,2022-08-28,06:49:10,dimasfortuna1396,positive
631,iya bang,3.0,2022-10-21,07:23:08,Zy4nnn,positive
632,kangen bngt,2.0,2023-04-08,10:03:43,jii5982,negative
633,jii5982 iya,0.0,2023-04-26,03:57:05,adolfjohan7537,positive
634,aamiin kangen vibes nya cuman ga kangen virus corona nya,1.0,2023-07-22,02:06:18,chelsea6644,neutral
635,jadi keinget dulu seneng karena libur sekolah eh ternyata,1.0,2022-08-27,02:57:34,Trwaaaa,negative
636,akhirnya kita sudah melewati masa quot yg suram ini,1.0,2022-08-25,02:25:33,saidfebrian6402,positive
637,kemari lagi setelah survive,0.0,2022-08-24,23:16:04,Ddnmddnn,neutral
638,kasus peama cacar monyet,0.0,2022-08-24,14:31:41,MuhammadHaikalZidni,negative
639,puji tuhan sdh aman amin,0.0,2022-08-24,13:43:48,lalaww8988,positive
640,pada 2 1 tahun nih komen nya,0.0,2022-08-23,20:58:37,rinarin5473,neutral
641,yes sudah aman,0.0,2022-08-23,16:06:21,fansemyu135,positive
642,pkangen,0.0,2022-08-23,15:53:39,ijalganteng7779,positive
643,dulu awal covid kelas 3 sekarang udah kelas 6,2.0,2022-08-23,10:52:20,Hapis_dz,neutral
644,lah sama aku,0.0,2022-09-06,13:18:58,fadlisyareza7917,negative
645,jir ada bocil,0.0,2022-09-06,15:10:25,T-34-85S,neutral
646,terimah kasih corona sudah menemani kami libur 2 thn sekarang ada penyakit seson 2,0.0,2022-08-23,09:42:43,syahdangaming1360,positive
647,hi,0.0,2022-08-23,09:31:44,zaidanattariq785,neutral
648,gak kerasa banget ya,0.0,2022-08-23,09:21:14,dayatkesa8220,positive
649,sekarang cacar monyet peama,0.0,2022-08-23,09:17:59,safiyyarahmakalila470,negative
650,saya datang dari tahun 2022 kesini untuk nostalgia disaat awal mula kata quot 2 orang indonesia asal indonesia di depok positif covid quot quot libur 2 minggu quot,2.0,2022-08-22,13:46:39,puterarafasyamsuar8366,positive
651,kamu bohong ini 2 tahun bukan 2 minggu,1.0,2022-08-23,10:50:54,Hapis_dz,negative
652,wisata masa lalu dulu pas awal daring pagi pagi sambil muter lagu dance monkey,1.0,2022-08-22,12:05:28,ahmadrasingmandalika7201,negative
653,hayy,0.0,2022-08-21,10:59:31,bumicampur8380,positive
654,corona udah mulai sirna lur,0.0,2022-08-21,09:09:45,memepmakar9468,neutral
655,udah dua tahun yah,0.0,2022-08-21,08:21:08,noellovzy_,neutral
656,2020,0.0,2022-08-19,23:14:51,m.dafa.albaihaqi,positive
657,2 th lalu,0.0,2022-08-19,07:20:22,akun-sh5nl,negative
658,2 tahun yg lalu cui,0.0,2022-08-19,02:57:38,mafr24,negative
659,nt semua hanya tersisa kenangan,1.0,2022-08-16,12:49:40,zhexxyt4494,negative
660,awal dari omong kosong,0.0,2022-08-16,07:08:53,jasonriley1470,negative
661,udah 2 tahun aja nih corona,2.0,2022-08-14,05:25:44,ryannganteng6114,neutral
662,akhirnya covid hilang,1.0,2022-08-13,07:48:07,fadheldepok1620,positive
663,hai dari masa depan corona udh membaik,1.0,2022-08-13,01:27:07,putrisaja2260,negative
664,hha wahyu udh gk kerasa dua tahun aja,0.0,2022-08-12,12:48:10,hanzyyy12,neutral
665,2 minggu ber ujung 2 tahun,0.0,2022-08-12,11:52:00,nanz3926,neutral
666,2 minggu ber ujung 2 tahun,0.0,2022-08-12,11:51:49,nanz3926,neutral
667,gak kerasa ternyata dah 2 tahun yg lalu corona nya,1.0,2022-08-11,15:18:16,indraap.813,negative
668,,0.0,2022-08-11,12:03:33,kindaloveu,positive
669,hey bung 2 taun berlalu,0.0,2022-08-11,09:08:30,rennkaji,neutral
670,janji ngga libur 2 tahun,1.0,2022-08-11,07:40:37,twilightdinaa__2723,neutral
671,gak kerasa 2 tahun virus corontol,1.0,2022-08-11,06:34:20,fikriiii7362,neutral
672,wisata masa lalu,1.0,2022-08-09,09:32:04,DikoGanzId,negative
673,kita libur 2 minggu ya nak awal kelas 6,1.0,2022-08-05,05:14:24,progAmInG-pq5fg,neutral
674,hai saya dari masa depan,1.0,2022-08-04,06:04:28,akunytakunih2895,neutral
675,waktu itu masih awal kuliah gak nyangka sekarang udah nyusun aja waktu itu ada 1 orang yang kena covid langsung heboh 1 kampung sekarang mau 3 orang pun yang kena udah b aja,2.0,2022-08-03,11:59:31,whoiam4877,negative
676,goodbye covidhello monkey pox,1.0,2022-08-02,15:53:56,rivers1428,positive
677,sebenarnya covid belom berakhir juga sih,0.0,2022-08-02,15:54:17,rivers1428,negative
678,rivers1428 tp udh menipis,0.0,2022-08-08,14:18:27,hafidzhafidz256,negative
679,hafidzhafidz256 masih banyak bro cuma gk keliatan media saja,0.0,2022-09-06,15:12:18,T-34-85S,negative
680,miss that moment but alhamdulillah udah sepenuhnya kurang corona sekarang,2.0,2022-08-01,13:48:32,raflypradana7125,positive
681,gw survive bro 2 thn lalu,1.0,2022-08-01,11:38:14,HansSLL,neutral
682,udh 2 tahun berlalu dan kita berhasil survive,3.0,2022-08-01,03:32:16,nailaaz07,neutral
683,anjayy udah 2 tahun aja berlalu gak kerasa banget,2.0,2022-07-31,13:27:43,tonicfc,negative
684,ga kerasa udah 2 tahun yang lalu,1.0,2022-07-30,11:44:53,rafliazka6438,neutral
685,2 th yang lalu,1.0,2022-07-30,08:25:12,gannfir,negative
686,aku dari masa depan corona akan hilang tanpa jejak,0.0,2022-07-30,05:07:24,muhammadfasharagilanada2673,positive
687,gak kerasa ya kawna btw gw dari tahun dpn,0.0,2022-07-30,04:05:07,nandar13222,neutral
688,3 tahun yang lalu,1.0,2022-07-29,12:15:14,dzbmpieSupersonic864,negative
689,ya perpisahan tanpa kenangan,0.0,2022-07-30,03:08:45,sekularrr3023,negative
690,melihat vidio old mengenag,1.0,2022-07-29,05:58:57,zakibarbara6105,positive
691,sekarang sudah membaik,0.0,2022-07-28,17:20:30,aryadwiki9269,negative
692,kok udh ampir 2 tahun stengah ta,0.0,2022-07-28,16:53:59,miketzu4743,neutral
693,ga kerasa udh 2th lalu,0.0,2022-07-28,15:27:45,heruferdi4906,negative
694,old but gold revesh awal 2020,1.0,2022-07-28,13:47:11,listen-4534,positive
695,halo 2thn lalu,0.0,2022-07-28,10:32:52,Sattt888,neutral
696,broo kita liburan 2 minggu broo 2 mingguuuu,0.0,2022-07-28,08:50:19,SAUSTOMAT321,neutral
697,aku dari masa depan,1.0,2022-07-27,17:39:52,priyowibowodanang2066,positive
698,kangen banget 2020 wkwkwk,0.0,2022-07-27,13:58:32,whome2943,positive
699,makanya cari tau dulu titik terang covitnya jgn asal2an masuki covit meraja lela kan,0.0,2022-07-25,01:04:35,armiyatiarmiyati5819,neutral
700,merasa beruntung karena bisa melewati masa corona,0.0,2022-07-24,19:28:54,awetstar1067,positive
701,yok 3 tahun lagi,0.0,2022-07-23,05:22:05,HafizzTech,neutral
702,2 tahun yang lalu,1.0,2022-07-20,16:58:06,ademardiansyah6749,negative
703,gk kerasa sudah 2 th,0.0,2022-07-20,08:36:39,funnymoment2149,neutral
704,lah kejap lagi 3 tahun anj,0.0,2022-07-18,16:23:16,Idklmao1502,negative
705,udh 2 tahun aja,4.0,2022-07-17,08:20:43,maulidatemmale171,neutral
706,login,1.0,2022-07-16,14:35:40,remukanbakwan49,positive
707,udh 2022 aj nih kangen banget sama 2020,0.0,2022-07-16,08:07:17,xyroo3828,negative
708,ga kerasa udh 2 tahun,0.0,2022-07-16,08:05:37,almasgamplayes7241,neutral
709,kita sudah merdeka,0.0,2022-07-16,07:42:55,michaelreihan9427,neutral
710,gk kerasa udah dua tahun aj,0.0,2022-07-16,06:55:38,juliatiofficial4465,neutral
711,kgn vibes 2020,0.0,2022-07-15,10:42:53,haikalrisyuniarto1034,neutral
712,2022,0.0,2022-07-15,08:15:20,Firas_I.D.,positive
713,halo aku dari masa depan,0.0,2022-07-15,05:32:16,kaguyashinomiya6601,neutral
714,2020,0.0,2022-07-14,16:12:30,gibranofficial1873,positive
715,saya datang dari masa depan,0.0,2022-07-14,07:20:18,Chrstnnn77,neutral
716,cina baik hati sangatlah baik hati,1.0,2022-07-14,03:54:59,Okok-vd5cf,negative
717,kamu cina saya belikan eskrim kamu,2.0,2022-07-16,05:45:37,anugrahbintang8316,positive
718,kgn,1.0,2022-07-13,16:18:04,yttiga6484,positive
719,sm,0.0,2022-07-14,03:54:43,Okok-vd5cf,positive
720,keingat masa masa covid dulu,0.0,2022-07-15,03:34:06,fajrin7794,negative
721,wowowow,1.0,2022-07-13,15:58:08,Indra-gd3kg,positive
722,udah hilang sekarang,2.0,2022-07-13,13:50:15,galangarya5907,neutral
723,hay gk kerasa yh waktu begitu berlalu,1.0,2022-07-13,13:24:14,fauzianzs9774,negative
724,g kerasa udh 2tahun,1.0,2022-07-13,08:10:55,AbdulRohim-jx6di,positive
725,ga kerasa udh dua tahun aja,0.0,2022-07-13,02:56:06,dhellfresett2561,neutral
726,hahahaha gak kerasa,0.0,2022-07-13,01:14:23,yuriimut656,positive
727,2 tahun yg lalu,0.0,2022-07-12,16:54:05,wanu7445,negative
728,woii sedih bgt keinget masa masa covid,1.0,2022-07-12,16:00:29,idwarmalikulz2390,negative
729,jangan 2020,0.0,2022-07-12,15:34:56,agusbuyer9964,negative
730,kangen 2020,0.0,2022-07-12,13:53:45,unkwon2199,negative
731,gak kerasa ya udah dua tahun aja,1.0,2022-07-12,13:25:44,mina_sr_my7937,neutral
732,hmm,0.0,2022-07-12,11:25:45,secret28,positive
733,woi 2022,0.0,2022-07-12,11:10:01,anjay2096,neutral
734,nggk kerasa ya udh 2 tahun aja,0.0,2022-07-12,10:57:42,haikalajiprabowo7605,neutral
735,udh 2 thn aj nii,1.0,2022-07-12,06:47:53,aiss0132,positive
736,,0.0,2022-07-12,00:00:29,marrkohan,positive
737,udh 2 tahun aja nih kangen vibes nya,2.0,2022-07-11,17:46:11,kenalfirzy9241,neutral
738,samaa,1.0,2022-10-22,03:33:03,ghalyandhika1887,positive
739,masa quot awal covid tidak terlalu buruk juga,0.0,2022-07-11,16:40:05,rizkyhidayat7023,negative
740,maksud anda apa tidak terlalu buruk justru awal awal korona yang berhasil merenggut nyawa nenek saya,0.0,2022-07-12,09:55:25,chaptipyongman5699,negative
741,udah dua tahun aja ya,0.0,2022-07-08,19:21:24,naomitastic2309,neutral
742,anj 2021 kek tahun di skip,1.0,2022-07-07,02:24:17,etaroo14,negative
743,dulu aku pernah bilang 2020 ada tahun terburuk dan ternyata aku salah ternyata tahun 2020 adalah tahun penuh kenangan yang cukup indah,2.0,2022-07-06,18:06:03,riiyunhoki119,negative
744,iya dimana nenekku masih ada,1.0,2022-07-08,13:19:02,gvayvavgwghahwby1094,negative
745,iyaaa lu bilang gitu karena keluarga lu g ada yg meninggal karena covid,1.0,2022-08-02,03:11:10,nailaaz07,negative
746,aseli di tahun situ gw kgk punya musuh,0.0,2023-07-25,16:34:02,ZidnieAldino_YT,neutral
747,gak kerasa udah 2 tahun ya,0.0,2022-07-02,16:43:27,jimukzzz6679,neutral
748,hallo aku dari masa depan,0.0,2022-06-27,11:46:04,raichannel9452,neutral
749,nanti ada berita quot kasus terakhir corona di indonesia quot,2.0,2022-06-21,14:24:17,Muhammad_Aditya_K.,neutral
750,wah sejarah,1.0,2022-06-21,14:18:27,Muhammad_Aditya_K.,positive
751,2 tahun lalu thats a bad news,0.0,2022-06-20,14:59:07,gwegg_1258,neutral
752,dlu sempet mikir mau libur sekolah setahun eh pas corona malah lewat 2 tahun wkwkw,0.0,2022-06-20,13:51:50,chrlxz5766,negative
753,nostalgia,0.0,2022-06-19,08:49:27,atzhyt1225,neutral
754,gg,0.0,2022-07-13,07:45:04,rehanevos116,negative
755,dibilang diliburkan 2 minggu kok jadi 2 tahun,0.0,2022-06-19,04:17:28,imcreeperblue4746,neutral
756,jadi kangen,0.0,2022-06-16,14:59:21,ikhsanrahardii,negative
757,2022 masuk endemi bisa mudik dan bisa lepas masker di luar ruangan yg komen 2022 ayo mampir,0.0,2022-06-16,07:56:51,alexandria690,neutral
758,yang gabut tiba2 buka ini,1.0,2022-06-12,02:42:12,izzurrohman1960,negative
759,wisata masa lalu,1.0,2022-06-08,20:09:41,galihanggara2750,negative
760,halo 2020 alhamdulillah di 2022 covid udah terkendali di indonesia terimakasih atas kerja kerasnya para dokter dan lainnya,0.0,2022-06-07,06:44:23,SpaceStation1,positive
761,detik detik bisnis besar besaran dimulai,1.0,2022-06-06,02:08:12,Naufalkembu,neutral
762,halo saya dari 2022,0.0,2022-06-03,10:20:02,ikhfankhoirul8763,neutral
763,kapan akhir corona,0.0,2022-05-30,23:37:50,ramdangaming979,neutral
764,kangen,1.0,2022-05-29,05:48:58,erwinsyah8910,negative
765,hello mampir karna mau nostalgia hihi covid banyak merubah hidup ku hihi akhirnya 2022 udah bole ga pake masker huhu,0.0,2022-05-28,10:41:37,xtriputri1325,neutral
766,bravo ya sekarang,0.0,2022-05-28,11:32:47,AdaprabuLT,neutral
767,,0.0,2022-05-25,09:36:04,Leonardiwijaya13,positive
768,muncul bikin gemetarhilang tanpa kabaredit 17 mei 2023,1.0,2022-05-23,13:48:58,rafkahardiansyah5118,neutral
769,g nyangka,0.0,2022-05-22,12:24:08,shemuelsumasto5625,neutral
770,nggak kerasa udah 2 tahun yah,1.0,2022-05-22,03:04:52,dimasmantoro7632,neutral
771,,1.0,2022-05-28,11:33:07,AdaprabuLT,positive
772,2022,0.0,2022-05-19,11:49:10,Bluey775,positive
773,2022 diselesaikan coronaa,1.0,2022-05-17,19:53:46,fixx.2708,neutral
774,kala itu semua berubah dan bener bener banyak hal yang sudah kita lewati dan sekarang kita sudah di tahap endemi,0.0,2022-05-13,05:40:55,mynamedir1651,neutral
775,1 kata wuhan k0o0nto0ol,2.0,2022-05-05,13:08:42,sqduz143,negative
776,y,0.0,2022-05-05,07:51:51,saidb6932,positive
777,saya dari masa depan,1.0,2022-05-03,09:53:58,harryedwardstyles7245,neutral
778,kalau di bilang bulan maret 2020 kasus peama corona di indonesia rasanya ndak deh karena aku di awal januari 2020 sakit gejala covid selama 1 minggu lebih mulai dari batuk kering selama bbrpa hari badan panas dingin sakit badan sendi2 linu sakit kepala mulut pahit hilang rasa,0.0,2022-04-30,16:55:54,cucumberz1000,negative
779,udh 2 tahun,0.0,2022-04-25,02:22:00,kamaa2048,neutral
780,wisata masa lalu,2.0,2022-04-24,03:53:13,fahranaputri4712,negative
781,semua nya karena pasar wuhan sialan,1.0,2022-04-14,21:32:43,user-wy6hn2nc8q,negative
782,semuanya gara2 kelelawar di pasar wuhan haha,0.0,2022-03-27,22:32:59,deny19791,neutral
783,hai aku dari masa depan,2.0,2022-03-26,13:07:47,Lyrch12,neutral
784,bulan maret ke 3 corona,0.0,2022-03-21,03:45:18,nagisha.,neutral
785,yang nonton 2022 absen,3.0,2022-03-18,05:50:31,edogaming5950,neutral
786,kukira 2 minggu pjj ternyata 2 tahun wkwk,1.0,2022-03-16,01:04:12,ninooo2938,neutral
787,tepat 2 tahun lalu pada 16 maret 2020 libur selama 14 hari,1.0,2022-03-16,00:39:31,daffa3593,neutral
788,drama lagi drama lagikapan negeri ini gak sandiwara dari permainan oknum dan pemerinthan yg dzolim ini rakyat yg jadi korbannya gegara si cokorna ngomong corona ada di indonesia mudah2an rezim dzolim ini di azab sama allah aamin,0.0,2022-03-15,12:42:23,achmadarif8709,positive
789,berita ini 2 tahun lalu dan membahas tentang covid 19 peama di indonesia well kenapa melebar kemana mana,2.0,2022-03-16,00:42:18,daffa3593,neutral
790,ehhh udah 2 tahun sajaa,1.0,2022-03-15,09:07:25,muftialif8073,neutral
791,2 tahun sudah corona hadir di bumi inimudahan segera teratasi,0.0,2022-03-12,01:00:23,Firgiawan-cc9nu,negative
792,hai saya dari masa depan,1.0,2022-03-07,21:30:55,rickyadrianputra2343,neutral
793,p,0.0,2022-03-10,09:06:10,Vincentt133,positive
794,legends,0.0,2022-03-05,10:36:31,daffa3593,positive
795,titip komen kalo dah kelar pandemi gua balik,1.0,2022-03-04,11:21:18,azrielmaulana1610,positive
796,dh 2 tahun aja,0.0,2022-03-04,10:35:42,hikmal_kf,neutral
797,saya dari masa depan virus covid rp mengandung rupiah ini masih akan berlangsung sampai yakjuj makjuj keluar abis menguntungkan sihh,1.0,2022-03-03,03:30:43,NIGHTMARE_IN_THE_DARKNESS,neutral
798,ultah ke 2 tahun,0.0,2022-03-02,14:45:15,gilangfebriano8199,neutral
799,saya kembali lagi di 2 maret 2022sekedar ngasitau covid udah 2 tahun hari ini mantap,1.0,2022-03-02,14:03:46,CalonSatria,positive
800,selamat ulang tahun corona semoga umurnya di perpendek ya,0.0,2022-03-02,12:21:19,dahlahspongebob9130,positive
801,pendek umurnya ya,0.0,2022-03-02,10:17:08,najibraihan2,negative
802,2 maret 2022 tepat hari ini 2 tahun virus corona,3.0,2022-03-02,08:15:58,abidsobirin8464,neutral
803,udah 2 tahun ya,0.0,2022-03-02,05:25:47,Novistadore,neutral
804,ke 2 tahun nya corona,0.0,2022-03-02,05:08:12,zeiimc3157,neutral
805,loginloginloginloginlogin,2.0,2022-03-02,02:21:10,ilhamtime5951,positive
806,p 2 tahun,1.0,2022-03-02,01:27:49,akbarrizky2516,neutral
807,p,1.0,2022-03-01,16:17:27,rssyae4670,positive
808,ada hantu,0.0,2022-02-25,16:39:28,sapujagat1689,neutral
809,p,0.0,2022-02-20,11:20:00,titussihombing8406,positive
810,mari nostalgila,4.0,2022-02-13,09:42:43,rexgamerz5109,positive
811,ntar lagi copid ultah,0.0,2022-02-17,13:13:25,kumpulanvideoberkelas4219,neutral
812,bssbz,0.0,2022-02-11,10:50:21,ivanrofik4983,positive
813,,0.0,2022-02-09,07:29:19,djvagrowtopia7810,positive
814,7 februari 2022 kgn banget,1.0,2022-02-07,10:40:39,puisii8032,positive
815,hm vibes nya,2.0,2022-01-29,13:48:23,raflifirnando8034,neutral
816,dan skrg kasus melonjak lagi njir di 2022 omicron,1.0,2022-01-31,02:09:17,kawasakitheking4130,negative
817,login,1.0,2022-01-25,02:39:07,kudetfamily6147,positive
818,hore horeee sudah 1 tahun lebih kasus virus di indonesia horeeee udah kasus virus lagi yaaaaa horeeeeee,1.0,2022-01-21,11:09:47,wawanerli213,neutral
819,peama di indonesia wihh,0.0,2022-01-21,11:08:47,wawanerli213,neutral
820,2022 hadir,0.0,2022-01-20,16:57:27,viierr,positive
821,2023 hadir,0.0,2023-05-13,00:13:53,viierr,positive
822,hemm syudah 2 tahun berlalu,0.0,2022-01-19,16:42:20,raehanhan2974,neutral
823,sedang kutunggu berita berita covid 19 hilang v,0.0,2022-01-17,07:00:59,daffaalif3645,neutral
824,saya gk percaya libur 2 minggu lagi,0.0,2022-01-11,10:22:03,hendry.7483,negative
825,quot sedang menunggu libur 2 minggu season 2 quot,2.0,2022-01-10,18:23:26,Garox_Lovania,neutral
826,umur mang garox pun sudah menua sekarang,1.0,2022-02-03,04:37:17,richardsamuel5826,positive
827,sekarang libur lagi,0.0,2022-02-28,16:30:57,theunfunny421,neutral
828,quot sedang menunggu libur 2 mingguseason ke 2 quot,1.0,2022-01-10,18:23:18,Garox_Lovania,negative
829,sedang menunggu libur 2 minggu season 2,0.0,2022-01-10,18:22:41,Garox_Lovania,neutral
830,hbd korona yg ke 2 tahun,0.0,2022-01-10,18:21:05,Garox_Lovania,neutral
831,kukira 2 mingguternyata 2 tahuncovid19,0.0,2022-03-04,08:31:24,Mhmdfyi,negative
832,saya kembali lagi kesini,2.0,2022-01-06,06:01:43,renzoarizona6415,negative
833,hi,0.0,2022-01-04,02:34:25,rasyanaufa8224,neutral
834,bentar lagi 2 tahun,2.0,2022-01-03,08:24:57,fardan4303,neutral
835,inilah yang membuat gwejh membenci jepang,1.0,2021-12-28,14:31:45,Mike-fn4ti,positive
836,1 000 000 000 000 social credit,1.0,2022-02-03,04:42:45,richardsamuel5826,neutral
837,flashback ujian sekolah,3.0,2021-12-28,09:08:50,nuu6953,neutral
838,ga nyangka udh 1 tahun aja,2.0,2021-12-28,08:45:21,JURAAAA.,neutral
839,vibes 2020,2.0,2021-12-28,01:41:39,fianimation5786,neutral
840,login,2.0,2021-12-27,05:58:48,madssyaaa,positive
841,lojin,1.0,2021-12-27,06:06:35,IamKazai,positive
842,iamkazai awikwok,1.0,2021-12-27,06:09:32,madssyaaa,positive
843,ini kalo sampe libur 3 tahun anak smp baru daftar sekolah tiba tiba lulus,3.0,2021-12-22,17:18:59,rizkimaulana6859,negative
844,2 minggu katanya wkwk,1.0,2021-12-22,07:47:41,hawnloey,neutral
845,halo apakah kalian masih mengingat momen ini bagi pelajar ini adalah berita baik akan tetapi ini adalah awal dari masalah besar yang akan terus membesar hingga saat ini 19 desember 2021,3.0,2021-12-19,11:31:54,ketawabarengkuy3508,positive
846,nostalgia bro dulu memang masih 2 kasus sekarang udah 4 26 jt kasus,2.0,2021-12-19,06:00:47,alifx2765,neutral
847,dan terjadilah libur 2minggu tapi boong,7.0,2021-12-17,04:11:01,SenaFromutopia,negative
848,hadir,1.0,2021-12-16,07:01:04,bmaudio8294,positive
849,awal mula libur 1 tahun,3.0,2021-12-10,07:20:07,arhancaos,negative
850,,0.0,2021-12-06,05:24:24,gnguagg44,positive
851,udah 1 tahun aja ya,2.0,2021-12-05,08:00:09,yanuaradinugroho7489,neutral
852,huft libur 2 minggu ya,0.0,2021-12-04,20:31:04,xiwaa.,neutral
853,aku ramal bln nov sampe agust 2021 corona mendadak hilang,2.0,2021-12-02,22:41:01,ka_tyaaa7751,neutral
854,hahgak nyanka udah mau 2022,2.0,2021-12-02,15:30:39,gatauwe5064,neutral
855,saat itu saja saya melihat,1.0,2021-12-02,07:21:48,dipoarib24k25,negative
856,gk kerasa dah mau lulus aja anjer gk bisa menikmati kenangan d skolah gra gra corona,1.0,2021-11-29,14:01:59,Ryan-vz1nm,negative
857,guru anak sekolah diliburkan 2 minggumurid seneng setelah 2 minggu,12.0,2021-11-27,16:21:06,sankurasaki5455,neutral
858,setelah beberapa minggu sekolah full day,0.0,2022-08-01,07:18:40,fairuznazhif2767,neutral
859,bukannya libur 2 tahun,0.0,2023-05-24,10:47:02,brookgaming6164,neutral
860,quot anak anak libur 2 minggu ya quot,3.0,2021-11-27,14:57:19,amelofficial7176,neutral
861,banned china anjg,2.0,2021-11-24,02:22:54,zizilyrics9484,positive
862,yg tadinya 1lalu nambah1 lgi nambah lagi smpe sekarang jadi jutaan,1.0,2021-11-22,12:01:00,theKinGfire-j2e,negative
863,hai,2.0,2021-11-22,04:59:41,tania1764,neutral
864,absen,2.0,2021-11-21,15:07:26,kindaloveu,neutral
865,hai dari masa depan udah 1 jt lebih yang kena,1.0,2021-11-15,05:10:51,chaliemee86,neutral
866,apa kbar orang yg bawa corona ke indo,0.0,2021-11-14,03:05:00,iqbalpramudya1860,neutral
867,cina gabutnya bukaan maen,0.0,2021-11-06,15:41:09,aeneehhheree,negative
868,padahal pada saat itu mungkin udah banyak wni yang kena covid tapi gak kedeteksi tau sendiri pemerintah suka telat,0.0,2021-11-03,18:44:17,southsouth2403,negative
869,apa kabar brader,0.0,2021-11-01,04:34:15,triple.k999,negative
870,,1.0,2021-10-30,08:29:54,panvv1053,positive
871,semoga bentar lagi ada berita quot kasus terakhir virus corona di indonesia quot kalau bisa kasus terakhir di dunia si,2.0,2021-10-30,03:42:07,シュニー-c5b,neutral
872,rindu awal karantina dan lagu2 tiktok yang enak banget,9.0,2021-10-25,08:10:26,bimbimm79,positive
873,aowkwowk,0.0,2021-11-07,12:25:46,INDRASAPUTRA-rj7se,positive
874,covid udah yu,0.0,2021-10-23,06:55:45,klklklkkk6056,positive
875,pengen balik ke tahun 2018 dimana namanya orang masih jamet,1.0,2021-10-23,06:41:37,niconiconi8213,neutral
876,gilaa udh setahun aja w kgn bgt pas awal thun 2020,2.0,2021-10-19,08:16:36,araalopingjenoendlessly9206,negative
877,kangen 2020,2.0,2021-10-19,06:51:22,judaspm4542,negative
878,haii aku dari masa depan wkwkwk,0.0,2021-10-17,00:31:32,rganargya9957,positive
879,untuk cnn kapan kasus covid terakhir di indonesia,0.0,2021-10-16,10:17:35,king_mosalahh3703,neutral
880,wuhan kon ol,0.0,2021-10-15,08:51:31,arifinmaya9811,neutral
881,yah,0.0,2021-10-15,06:23:54,auxchilyafanesha3724,negative
882,hampir 2thn wkwk,1.0,2021-10-14,20:06:26,ripleviction,positive
883,vibes 2020 nih,2.0,2021-10-11,01:56:34,dadaramdani3373,neutral
884,yoii,0.0,2021-10-11,15:45:10,xmipa1-muhammadhilaludin318,positive
885,nostalgia ah,1.0,2021-10-10,19:26:15,johnnyvincent11,neutral
886,indonesia udh bebas zona merah,1.0,2021-10-10,13:30:35,ffress1882,negative
887,hai saya datang di masa depan,0.0,2021-10-09,15:00:44,halohohaloho9683,neutral
888,gk kerasa dh dua tahun,3.0,2021-10-07,06:15:24,ayzz1890,neutral
889,,0.0,2021-10-07,13:10:04,lul4151,positive
890,udh 1 setengah taun korona ad di dunia pas november ato desember 2019klo di indo bln maret 2020,0.0,2021-10-10,16:10:58,rara-iu7rl,neutral
